units,kg
goal,84.0000
height,183.0000
2015-11-21 08:41:07,89.5000
2015-11-30 06:26:03,89.1000
2015-12-07 05:38:06,88.9000
2016-01-05 06:55:51,89.3000
2016-01-06 07:50:02,89.0000
2016-01-07 08:02:18,89.4000
2016-01-08 08:11:56,89.2000
2016-01-10 09:22:53,89.4000
2016-01-11 07:30:12,89.7000
2016-01-12 07:36:32,89.2000
2016-01-13 08:18:27,88.9000
2016-01-14 08:33:06,89.0000
2016-01-15 07:58:04,88.5000
2016-01-16 08:04:07,89.1000
2016-01-17 09:44:18,89.7000
2016-01-18 06:59:06,89.7000
2016-01-19 07:50:33,88.8000
2016-01-20 07:59:37,88.0000
2016-01-21 07:43:26,87.4000
2016-01-22 07:34:13,87.5000
2016-01-23 07:52:19,88.3000
2016-01-24 08:36:12,88.4000
2016-01-25 07:34:57,89.3000
2016-01-26 07:20:38,88.1000
2016-01-27 09:09:02,87.8000
2016-01-28 06:59:39,88.1000
2016-01-29 07:17:39,88.3000
2016-01-30 08:36:36,89.2000
2016-02-01 06:07:21,88.0000
2016-02-02 07:19:30,87.9000
2016-02-03 07:47:00,87.9000
2016-02-04 05:55:54,88.6000
2016-02-05 07:10:37,87.8000
2016-02-06 14:34:03,89.0000
2016-02-07 09:27:29,89.3000
2016-02-08 07:24:13,88.8000
2016-02-09 07:29:05,88.1000
2016-02-12 08:03:28,88.0000
2016-02-14 11:04:47,87.5000
2016-02-15 07:01:25,88.0000
2016-02-16 07:10:19,88.4000
2016-02-17 07:33:22,88.1000
2016-02-18 07:18:10,88.3000
2016-02-19 07:44:24,87.6000
2016-02-21 09:24:10,88.2000
2016-02-22 07:21:04,88.2000
2016-02-23 07:14:29,87.6000
2016-02-24 05:50:12,87.4000
2016-02-25 07:37:29,88.1000
2016-02-26 17:43:52,87.6000
2016-02-29 07:33:18,88.0000
2016-03-01 07:20:52,88.1000
2016-03-02 08:04:19,87.6000
2016-03-07 09:11:49,88.0000
2016-03-09 07:10:55,88.1000
2016-03-10 07:32:44,88.2000
2016-03-15 07:37:27,87.7000
2016-03-16 07:21:23,87.5000
2016-03-19 11:19:50,87.6000
2016-03-24 07:38:44,87.8000
2016-03-26 09:23:36,87.2000
2016-03-27 07:15:45,87.9000
2016-03-28 09:22:40,87.3000
2016-03-29 07:30:40,87.8000
2016-03-31 08:49:35,87.5000
2016-04-01 07:17:41,87.2000
2016-04-02 07:15:01,88.4000
2016-04-03 09:12:59,86.9000
2016-04-04 06:47:28,88.5000
2016-04-05 07:30:41,88.0000
2016-04-06 08:21:20,87.0000
2016-04-07 08:57:18,86.9000
2016-04-08 08:08:14,86.8000
2016-04-09 05:05:41,86.8000
2016-04-10 00:11:54,86.0000
2016-04-11 07:26:40,87.3000
2016-04-12 04:57:37,86.7000
2016-04-13 06:51:40,86.7000
2016-04-14 07:11:15,86.4000
2016-04-15 06:49:45,86.4000
2016-04-16 08:25:47,86.7000
2016-04-17 09:21:29,86.8000
2016-04-18 00:16:22,86.6000
2016-04-19 06:51:29,85.4000
