CheckSum,NumberOfBallotsWithOnlySubstitutesVotes,NumberOfBallotsWithOnlyTitularVotes,NumberOfBallotsWithTitularAndSubstitutesVotes,NumberOfHeaderVotes,kanton,name,niscode,validvotes
26619,25,1848,361,555,CANTON DE MALMEDY,CDH,63049,2789
74724,33,1402,356,1482,CANTON DE MALMEDY,MR,63049,3273
47484,6,52,40,448,CANTON DE MALMEDY,PARTI POPULAIRE,63049,546
80824,7,16,4,67,CANTON DE MALMEDY,VLAAMS BELANG,63049,94
5681,2,54,27,286,CANTON DE MALMEDY,DéFI,63049,369
47638,7,554,55,711,CANTON DE MALMEDY,PTB,63049,1327
44635,2,26,18,129,CANTON DE MALMEDY,LISTES DESTEXHE,63049,175
44158,29,424,141,743,CANTON DE MALMEDY,PS,63049,1337
57449,3,12,6,97,CANTON DE MALMEDY,DierAnimal,63049,118
40523,0,17,10,71,CANTON DE MALMEDY,LA DROITE,63049,98
3820,9,25,10,110,CANTON DE MALMEDY,LES BELGES D'ABORD,63049,154
97320,4,4,4,20,CANTON DE MALMEDY,NATION,63049,32
79875,5,7,5,32,CANTON DE MALMEDY,WALLONIE INSOUMISE,63049,49
15387,11,16,11,68,CANTON DE MALMEDY,Collectif Citoyen,63049,106
73557,318,816,207,2362,CANTON DE SAINT-VITH##KANTON SANKT VITH,ECOLO,63067,3703
63330,112,1261,223,2276,CANTON DE SAINT-VITH##KANTON SANKT VITH,CDH,63067,3872
83888,31,2831,156,962,CANTON DE SAINT-VITH##KANTON SANKT VITH,MR,63067,3980
76613,14,88,21,183,CANTON DE SAINT-VITH##KANTON SANKT VITH,PARTI POPULAIRE,63067,306
69960,99,175,26,153,CANTON DE SAINT-VITH##KANTON SANKT VITH,VLAAMS BELANG,63067,453
99775,4,23,6,52,CANTON DE SAINT-VITH##KANTON SANKT VITH,DéFI,63067,85
30227,31,278,29,268,CANTON DE SAINT-VITH##KANTON SANKT VITH,PTB,63067,606
4073,4,21,4,51,CANTON DE SAINT-VITH##KANTON SANKT VITH,LISTES DESTEXHE,63067,80
58028,44,671,86,888,CANTON DE SAINT-VITH##KANTON SANKT VITH,PS,63067,1689
33752,19,39,17,95,CANTON DE SAINT-VITH##KANTON SANKT VITH,DierAnimal,63067,170
97235,2,118,17,120,CANTON DE SAINT-VITH##KANTON SANKT VITH,LA DROITE,63067,257
56110,23,63,10,85,CANTON DE SAINT-VITH##KANTON SANKT VITH,LES BELGES D'ABORD,63067,181
30034,32,17,4,17,CANTON DE SAINT-VITH##KANTON SANKT VITH,NATION,63067,70
2308,26,15,4,22,CANTON DE SAINT-VITH##KANTON SANKT VITH,WALLONIE INSOUMISE,63067,67
5094,7,12,4,21,CANTON DE SAINT-VITH##KANTON SANKT VITH,Collectif Citoyen,63067,44
70170,48,774,214,2204,CANTON DE SPA,ECOLO,63072,3240
18306,41,394,172,646,CANTON DE SPA,CDH,63072,1253
21560,151,1673,563,2689,CANTON DE SPA,MR,63072,5076
70985,13,161,43,869,CANTON DE SPA,PARTI POPULAIRE,63072,1086
25433,4,16,7,66,CANTON DE SPA,VLAAMS BELANG,63072,93
57502,19,135,37,595,CANTON DE SPA,DéFI,63072,786
75829,17,1154,172,1335,CANTON DE SPA,PTB,63072,2678
3729,3,42,10,237,CANTON DE SPA,LISTES DESTEXHE,63072,292
60762,222,990,446,1818,CANTON DE SPA,PS,63072,3476
53898,15,33,13,193,CANTON DE SPA,DierAnimal,63072,254
72976,2,40,10,98,CANTON DE SPA,LA DROITE,63072,150
71940,17,55,23,281,CANTON DE SPA,LES BELGES D'ABORD,63072,376
59229,8,7,3,33,CANTON DE SPA,NATION,63072,51
84094,11,25,12,86,CANTON DE SPA,WALLONIE INSOUMISE,63072,134
95126,24,33,8,159,CANTON DE SPA,Collectif Citoyen,63072,224
