CheckSum,NumberOfBallotsWithOnlySubstitutesVotes,NumberOfBallotsWithOnlyTitularVotes,NumberOfBallotsWithTitularAndSubstitutesVotes,NumberOfHeaderVotes,kanton,name,niscode,validvotes
54334,11,99,23,283,CANTON DE VERVIERS,LISTES DESTEXHE,63079,416
33521,1033,2022,1239,3095,CANTON DE VERVIERS,PS,63079,7389
62495,16,59,21,228,CANTON DE VERVIERS,DierAnimal,63079,324
10931,10,57,13,121,CANTON DE VERVIERS,LA DROITE,63079,201
87654,23,116,40,359,CANTON DE VERVIERS,LES BELGES D'ABORD,63079,538
91543,19,26,10,41,CANTON DE VERVIERS,NATION,63079,96
75881,15,21,10,104,CANTON DE VERVIERS,WALLONIE INSOUMISE,63079,150
78865,36,72,31,294,CANTON DE VERVIERS,Collectif Citoyen,63079,433
93609,64,464,216,1840,CANTON DE HANNUT,ECOLO,64034,2584
33800,31,609,251,724,CANTON DE HANNUT,CDH,64034,1615
83207,140,1656,785,2670,CANTON DE HANNUT,MR,64034,5251
82586,13,80,40,391,CANTON DE HANNUT,PARTI POPULAIRE,64034,524
89602,9,18,6,96,CANTON DE HANNUT,VLAAMS BELANG,64034,129
4869,17,139,46,637,CANTON DE HANNUT,DéFI,64034,839
87056,23,1034,107,1014,CANTON DE HANNUT,PTB,64034,2178
66314,6,38,18,239,CANTON DE HANNUT,LISTES DESTEXHE,64034,301
37169,31,1642,573,1620,CANTON DE HANNUT,PS,64034,3866
85795,11,52,24,211,CANTON DE HANNUT,DierAnimal,64034,298
64319,2,18,5,64,CANTON DE HANNUT,LA DROITE,64034,89
31367,9,40,17,195,CANTON DE HANNUT,LES BELGES D'ABORD,64034,261
55829,6,4,4,31,CANTON DE HANNUT,NATION,64034,45
34100,5,21,8,76,CANTON DE HANNUT,WALLONIE INSOUMISE,64034,110
12327,22,42,11,129,CANTON DE HANNUT,Collectif Citoyen,64034,204
32922,86,847,287,2756,CANTON DE WAREMME,ECOLO,64074,3976
3700,78,705,284,1139,CANTON DE WAREMME,CDH,64074,2206
47955,136,3988,885,2911,CANTON DE WAREMME,MR,64074,7920
74079,48,219,76,696,CANTON DE WAREMME,PARTI POPULAIRE,64074,1039
71676,17,38,17,155,CANTON DE WAREMME,VLAAMS BELANG,64074,227
93595,25,213,58,926,CANTON DE WAREMME,DéFI,64074,1222
68914,43,2249,313,2082,CANTON DE WAREMME,PTB,64074,4687
87538,17,94,26,360,CANTON DE WAREMME,LISTES DESTEXHE,64074,497
16712,568,3407,1476,3726,CANTON DE WAREMME,PS,64074,9177
86379,28,69,27,322,CANTON DE WAREMME,DierAnimal,64074,446
87013,4,56,11,81,CANTON DE WAREMME,LA DROITE,64074,152
98444,45,99,42,331,CANTON DE WAREMME,LES BELGES D'ABORD,64074,517
81885,6,18,11,40,CANTON DE WAREMME,NATION,64074,75
39736,18,40,13,139,CANTON DE WAREMME,WALLONIE INSOUMISE,64074,210
93353,58,132,51,292,CANTON DE WAREMME,Collectif Citoyen,64074,533
70547,1,41,9,52,SPECIAAL KANTON: BUZA LIMBURG,Open Vld,70999,103
44551,0,32,12,55,SPECIAAL KANTON: BUZA LIMBURG,N-VA,70999,99
64024,0,19,9,33,SPECIAAL KANTON: BUZA LIMBURG,VLAAMS BELANG,70999,61
76708,1,28,12,43,SPECIAAL KANTON: BUZA LIMBURG,CD&V,70999,84
4898,0,4,2,14,SPECIAAL KANTON: BUZA LIMBURG,PVDA,70999,20
73473,0,26,14,85,SPECIAAL KANTON: BUZA LIMBURG,GROEN,70999,125
84457,3,24,8,30,SPECIAAL KANTON: BUZA LIMBURG,sp.a,70999,65
69,1,2,0,0,SPECIAAL KANTON: BUZA LIMBURG,PRO,70999,3
283,6,1,0,0,SPECIAAL KANTON: BUZA LIMBURG,D-SA,70999,7
10654,336,3188,828,2533,KANTON BERINGEN,Open Vld,71004,6885
45440,174,9350,1429,7458,KANTON BERINGEN,N-VA,71004,18411
89427,546,5355,1876,9594,KANTON BERINGEN,VLAAMS BELANG,71004,17371
69052,330,7112,1746,3597,KANTON BERINGEN,CD&V,71004,12785
76886,127,1961,531,2172,KANTON BERINGEN,PVDA,71004,4791
24946,280,2115,534,2463,KANTON BERINGEN,GROEN,71004,5392
17543,303,7846,1556,3225,KANTON BERINGEN,sp.a,71004,12930
205,97,45,7,88,KANTON BERINGEN,PRO,71004,237
72593,722,95,116,152,KANTON BERINGEN,D-SA,71004,1085
50598,97,1737,372,1386,KANTON GENK,Open Vld,71016,3592
45323,111,7117,1151,3398,KANTON GENK,N-VA,71016,11777
54370,324,2704,941,4525,KANTON GENK,VLAAMS BELANG,71016,8494
85042,862,4787,2663,2359,KANTON GENK,CD&V,71016,10671
69611,241,1789,577,1673,KANTON GENK,PVDA,71016,4280
26985,68,1675,293,1516,KANTON GENK,GROEN,71016,3552
68502,153,3980,835,1764,KANTON GENK,sp.a,71016,6732
285,77,32,14,50,KANTON GENK,PRO,71016,173
50501,141,25,15,37,KANTON GENK,D-SA,71016,218
73293,238,5501,1096,3504,KANTON HASSELT,Open Vld,71022,10339
77600,491,9981,2185,7903,KANTON HASSELT,N-VA,71022,20560
74,393,4268,1279,7330,KANTON HASSELT,VLAAMS BELANG,71022,13270
10224,456,5076,2155,3669,KANTON HASSELT,CD&V,71022,11356
31977,186,1582,580,2729,KANTON HASSELT,PVDA,71022,5077
94658,136,2240,744,4304,KANTON HASSELT,GROEN,71022,7424
70891,407,4747,1489,3677,KANTON HASSELT,sp.a,71022,10320
82934,97,56,15,112,KANTON HASSELT,PRO,71022,280
96645,79,35,17,69,KANTON HASSELT,D-SA,71022,200
62559,276,1084,597,1803,KANTON HERK-DE-STAD,Open Vld,71024,3760
78575,54,2761,451,3541,KANTON HERK-DE-STAD,N-VA,71024,6807
34103,76,725,323,3731,KANTON HERK-DE-STAD,VLAAMS BELANG,71024,4855
51230,104,2086,571,2609,KANTON HERK-DE-STAD,CD&V,71024,5370
96605,21,220,83,902,KANTON HERK-DE-STAD,PVDA,71024,1226
66664,69,435,208,1854,KANTON HERK-DE-STAD,GROEN,71024,2566
32266,671,969,732,1852,KANTON HERK-DE-STAD,sp.a,71024,4224
3953,32,6,6,49,KANTON HERK-DE-STAD,PRO,71024,93
64163,24,4,4,34,KANTON HERK-DE-STAD,D-SA,71024,66
86062,225,2158,723,1734,KANTON SINT-TRUIDEN,Open Vld,71053,4840
41195,202,3387,817,3671,KANTON SINT-TRUIDEN,N-VA,71053,8077
26659,138,1588,604,5157,KANTON SINT-TRUIDEN,VLAAMS BELANG,71053,7487
76556,93,3514,724,1630,KANTON SINT-TRUIDEN,CD&V,71053,5961
37684,38,304,115,972,KANTON SINT-TRUIDEN,PVDA,71053,1429
10917,39,443,169,1304,KANTON SINT-TRUIDEN,GROEN,71053,1955
37246,251,2985,1292,3059,KANTON SINT-TRUIDEN,sp.a,71053,7587
65232,42,22,6,47,KANTON SINT-TRUIDEN,PRO,71053,117
43269,37,20,5,40,KANTON SINT-TRUIDEN,D-SA,71053,102
18536,77,1859,499,1233,KANTON BREE,Open Vld,72004,3668
59549,52,4315,719,3238,KANTON BREE,N-VA,72004,8324
5879,173,1941,678,4518,KANTON BREE,VLAAMS BELANG,72004,7310
46194,247,4204,1693,2695,KANTON BREE,CD&V,72004,8839
36569,52,438,156,919,KANTON BREE,PVDA,72004,1565
90832,34,633,165,1070,KANTON BREE,GROEN,72004,1902
31599,51,1009,281,1058,KANTON BREE,sp.a,72004,2399
45555,36,20,6,49,KANTON BREE,PRO,72004,111
483,17,8,1,22,KANTON BREE,D-SA,72004,48
37480,484,2405,987,1980,KANTON MAASEIK,Open Vld,72021,5856
70554,80,3195,756,2957,KANTON MAASEIK,N-VA,72021,6988
1981,196,2002,762,4848,KANTON MAASEIK,VLAAMS BELANG,72021,7808
72628,152,3524,1219,1979,KANTON MAASEIK,CD&V,72021,6874
78675,69,440,149,750,KANTON MAASEIK,PVDA,72021,1408
75630,44,578,137,1040,KANTON MAASEIK,GROEN,72021,1799
1972,260,1686,652,1334,KANTON MAASEIK,sp.a,72021,3932
319,23,11,7,23,KANTON MAASEIK,PRO,72021,64
64331,34,15,4,22,KANTON MAASEIK,D-SA,72021,75
93960,62,3229,417,969,KANTON PEER,Open Vld,72030,4677
87082,65,3845,634,3112,KANTON PEER,N-VA,72030,7656
81234,222,2358,844,4552,KANTON PEER,VLAAMS BELANG,72030,7976
30742,1012,2208,2083,1869,KANTON PEER,CD&V,72030,7172
47252,116,879,384,1127,KANTON PEER,PVDA,72030,2506
19660,62,1422,252,1189,KANTON PEER,GROEN,72030,2925
66437,243,2267,843,1474,KANTON PEER,sp.a,72030,4827
166,36,13,5,45,KANTON PEER,PRO,72030,99
77,82,15,11,28,KANTON PEER,D-SA,72030,136
31245,79,1687,371,1320,KANTON PELT,Open Vld,72043,3457
54038,97,5272,750,4662,KANTON PELT,N-VA,72043,10781
21334,300,3175,937,5156,KANTON PELT,VLAAMS BELANG,72043,9568
30981,244,5710,1773,3355,KANTON PELT,CD&V,72043,11082
58993,53,1097,279,1337,KANTON PELT,PVDA,72043,2766
49072,44,1281,237,1373,KANTON PELT,GROEN,72043,2935
77442,119,2943,677,1721,KANTON PELT,sp.a,72043,5460
65241,80,43,13,88,KANTON PELT,PRO,72043,224
73427,66,16,15,26,KANTON PELT,D-SA,72043,123
69175,70,2153,567,1337,KANTON BILZEN,Open Vld,73006,4127
99689,38,3294,674,2632,KANTON BILZEN,N-VA,73006,6638
41615,46,1403,454,3986,KANTON BILZEN,VLAAMS BELANG,73006,5889
82234,358,1717,1631,1870,KANTON BILZEN,CD&V,73006,5576
87808,18,211,68,688,KANTON BILZEN,PVDA,73006,985
2953,46,433,130,1230,KANTON BILZEN,GROEN,73006,1839
64869,28,1441,255,1281,KANTON BILZEN,sp.a,73006,3005
73998,23,3,7,30,KANTON BILZEN,PRO,73006,63
25501,15,5,0,20,KANTON BILZEN,D-SA,73006,40
48512,352,2328,1103,1843,KANTON BORGLOON,Open Vld,73009,5626
55154,100,2841,590,3340,KANTON BORGLOON,N-VA,73009,6871
43295,33,916,466,4724,KANTON BORGLOON,VLAAMS BELANG,73009,6139
7846,269,1795,1036,1845,KANTON BORGLOON,CD&V,73009,4945
87265,16,225,94,882,KANTON BORGLOON,PVDA,73009,1217
68762,22,510,151,1369,KANTON BORGLOON,GROEN,73009,2052
61507,57,2066,687,2101,KANTON BORGLOON,sp.a,73009,4911
34030,20,10,8,31,KANTON BORGLOON,PRO,73009,69
82502,16,3,1,21,KANTON BORGLOON,D-SA,73009,41
66629,35,477,243,392,KANTON RIEMST,Open Vld,73066,1147
95793,8,1048,179,822,KANTON RIEMST,N-VA,73066,2057
30950,22,296,139,1340,KANTON RIEMST,VLAAMS BELANG,73066,1797
15834,38,1826,728,488,KANTON RIEMST,CD&V,73066,3080
99501,4,48,21,190,KANTON RIEMST,PVDA,73066,263
18792,5,96,22,327,KANTON RIEMST,GROEN,73066,450
10997,7,300,75,387,KANTON RIEMST,sp.a,73066,769
28848,3,5,1,13,KANTON RIEMST,PRO,73066,22
601,2,4,0,7,KANTON RIEMST,D-SA,73066,13
73604,128,1928,683,664,KANTON TONGEREN,Open Vld,73083,3403
65448,29,1824,331,1252,KANTON TONGEREN,N-VA,73083,3436
38273,154,1074,415,2518,KANTON TONGEREN,VLAAMS BELANG,73083,4161
62245,123,1552,689,692,KANTON TONGEREN,CD&V,73083,3056
32607,31,224,98,517,KANTON TONGEREN,PVDA,73083,870
90514,27,407,101,709,KANTON TONGEREN,GROEN,73083,1244
3212,66,2893,508,941,KANTON TONGEREN,sp.a,73083,4408
29173,23,2,4,16,KANTON TONGEREN,PRO,73083,45
90189,27,11,6,29,KANTON TONGEREN,D-SA,73083,73
2192,409,2296,1015,1241,KANTON MAASMECHELEN,Open Vld,73107,4961
56556,57,3602,688,1924,KANTON MAASMECHELEN,N-VA,73107,6271
55074,209,2431,886,3591,KANTON MAASMECHELEN,VLAAMS BELANG,73107,7117
45949,113,4322,1124,977,KANTON MAASMECHELEN,CD&V,73107,6536
65356,151,1188,380,868,KANTON MAASMECHELEN,PVDA,73107,2587
48080,44,842,176,776,KANTON MAASMECHELEN,GROEN,73107,1838
49287,112,2838,751,1264,KANTON MAASMECHELEN,sp.a,73107,4965
11312,35,20,8,25,KANTON MAASMECHELEN,PRO,73107,88
4584,67,16,7,27,KANTON MAASMECHELEN,D-SA,73107,117
95093,4,82,13,62,KANTON VOEREN,Open Vld,73109,161
52516,2,367,49,102,KANTON VOEREN,N-VA,73109,520
23424,5,69,18,104,KANTON VOEREN,VLAAMS BELANG,73109,196
81195,5,97,55,81,KANTON VOEREN,CD&V,73109,238
60741,2,13,4,28,KANTON VOEREN,PVDA,73109,47
84486,2,51,12,91,KANTON VOEREN,GROEN,73109,156
58006,3,31,4,42,KANTON VOEREN,sp.a,73109,80
58,1,1,0,0,KANTON VOEREN,PRO,73109,2
90,0,0,0,0,KANTON VOEREN,D-SA,73109,0
18662,6,15,24,106,CANTON SPÉCIAL: AFF.ÉTRANGÈRES LUXEMBOURG,ECOLO,80999,151
47904,5,18,15,14,CANTON SPÉCIAL: AFF.ÉTRANGÈRES LUXEMBOURG,CDH,80999,52
24749,2,24,16,91,CANTON SPÉCIAL: AFF.ÉTRANGÈRES LUXEMBOURG,MR,80999,133
11865,0,2,4,11,CANTON SPÉCIAL: AFF.ÉTRANGÈRES LUXEMBOURG,PARTI POPULAIRE,80999,17
74,1,0,1,2,CANTON SPÉCIAL: AFF.ÉTRANGÈRES LUXEMBOURG,VLAAMS BELANG,80999,4
453,2,2,0,15,CANTON SPÉCIAL: AFF.ÉTRANGÈRES LUXEMBOURG,DéFI,80999,19
116,1,0,0,15,CANTON SPÉCIAL: AFF.ÉTRANGÈRES LUXEMBOURG,PTB,80999,16
32,0,0,1,3,CANTON SPÉCIAL: AFF.ÉTRANGÈRES LUXEMBOURG,LISTES DESTEXHE,80999,4
13756,0,6,9,31,CANTON SPÉCIAL: AFF.ÉTRANGÈRES LUXEMBOURG,PS,80999,46
71,1,0,1,2,CANTON SPÉCIAL: AFF.ÉTRANGÈRES LUXEMBOURG,LA DROITE,80999,4
110,0,0,0,2,CANTON SPÉCIAL: AFF.ÉTRANGÈRES LUXEMBOURG,NATION,80999,2
67198,229,975,603,4069,CANTON D'ARLON,ECOLO,81001,5876
21240,226,3342,1000,1824,CANTON D'ARLON,CDH,81001,6392
39809,504,867,801,3025,CANTON D'ARLON,MR,81001,5197
63327,13,81,67,494,CANTON D'ARLON,PARTI POPULAIRE,81001,655
9324,21,27,10,170,CANTON D'ARLON,VLAAMS BELANG,81001,228
467,28,114,60,557,CANTON D'ARLON,DéFI,81001,759
58317,35,187,140,1087,CANTON D'ARLON,PTB,81001,1449
74736,13,23,20,169,CANTON D'ARLON,LISTES DESTEXHE,81001,225
26698,312,755,529,1658,CANTON D'ARLON,PS,81001,3254
12389,8,19,29,164,CANTON D'ARLON,LA DROITE,81001,220
39397,19,22,23,124,CANTON D'ARLON,NATION,81001,188
86009,68,338,232,1411,CANTON DE MESSANCY,ECOLO,81015,2049
46294,282,787,810,930,CANTON DE MESSANCY,CDH,81015,2809
86823,257,284,376,1061,CANTON DE MESSANCY,MR,81015,1978
73133,17,64,37,345,CANTON DE MESSANCY,PARTI POPULAIRE,81015,463
36511,10,15,10,96,CANTON DE MESSANCY,VLAAMS BELANG,81015,131
98073,13,70,20,231,CANTON DE MESSANCY,DéFI,81015,334
53369,30,119,115,710,CANTON DE MESSANCY,PTB,81015,974
46522,3,13,8,44,CANTON DE MESSANCY,LISTES DESTEXHE,81015,68
43413,76,913,297,1248,CANTON DE MESSANCY,PS,81015,2534
50214,9,27,15,133,CANTON DE MESSANCY,LA DROITE,81015,184
11648,17,7,9,55,CANTON DE MESSANCY,NATION,81015,88
29695,65,321,168,786,CANTON DE BASTOGNE,ECOLO,82003,1340
24397,116,1910,1132,1265,CANTON DE BASTOGNE,CDH,82003,4423
74236,73,1203,517,887,CANTON DE BASTOGNE,MR,82003,2680
38989,14,46,32,239,CANTON DE BASTOGNE,PARTI POPULAIRE,82003,331
44502,8,13,5,66,CANTON DE BASTOGNE,VLAAMS BELANG,82003,92
81579,15,41,26,166,CANTON DE BASTOGNE,DéFI,82003,248
57972,29,113,102,651,CANTON DE BASTOGNE,PTB,82003,895
69774,60,55,34,115,CANTON DE BASTOGNE,LISTES DESTEXHE,82003,264
42484,37,291,155,588,CANTON DE BASTOGNE,PS,82003,1071
42041,3,14,11,57,CANTON DE BASTOGNE,LA DROITE,82003,85
27292,7,11,6,39,CANTON DE BASTOGNE,NATION,82003,63
55417,2,248,38,124,CANTON DE FAUVILLERS,ECOLO,82009,412
16412,12,169,97,85,CANTON DE FAUVILLERS,CDH,82009,363
45164,9,83,67,112,CANTON DE FAUVILLERS,MR,82009,271
71591,0,11,2,36,CANTON DE FAUVILLERS,PARTI POPULAIRE,82009,49
15903,1,2,2,9,CANTON DE FAUVILLERS,VLAAMS BELANG,82009,14
23563,0,7,4,21,CANTON DE FAUVILLERS,DéFI,82009,32
76346,2,8,7,76,CANTON DE FAUVILLERS,PTB,82009,93
73567,1,8,2,13,CANTON DE FAUVILLERS,LISTES DESTEXHE,82009,24
28755,4,22,20,76,CANTON DE FAUVILLERS,PS,82009,122
106,1,0,0,5,CANTON DE FAUVILLERS,LA DROITE,82009,6
115,1,2,0,7,CANTON DE FAUVILLERS,NATION,82009,10
51915,118,84,89,230,CANTON DE HOUFFALIZE,ECOLO,82014,521
67101,69,240,323,234,CANTON DE HOUFFALIZE,CDH,82014,866
10883,68,192,181,277,CANTON DE HOUFFALIZE,MR,82014,718
69773,5,18,18,93,CANTON DE HOUFFALIZE,PARTI POPULAIRE,82014,134
25413,4,12,2,34,CANTON DE HOUFFALIZE,VLAAMS BELANG,82014,52
8893,4,11,7,50,CANTON DE HOUFFALIZE,DéFI,82014,72
84477,6,42,41,189,CANTON DE HOUFFALIZE,PTB,82014,278
16415,2,7,4,28,CANTON DE HOUFFALIZE,LISTES DESTEXHE,82014,41
95584,17,119,90,241,CANTON DE HOUFFALIZE,PS,82014,467
613,1,4,1,17,CANTON DE HOUFFALIZE,LA DROITE,82014,23
403,4,1,0,16,CANTON DE HOUFFALIZE,NATION,82014,21
53425,47,189,203,753,CANTON DE VIELSALM,ECOLO,82032,1192
40229,869,247,826,500,CANTON DE VIELSALM,CDH,82032,2442
43794,29,240,222,586,CANTON DE VIELSALM,MR,82032,1077
16005,6,24,37,147,CANTON DE VIELSALM,PARTI POPULAIRE,82032,214
5117,7,10,3,71,CANTON DE VIELSALM,VLAAMS BELANG,82032,91
67298,12,18,30,132,CANTON DE VIELSALM,DéFI,82032,192
28954,15,149,118,556,CANTON DE VIELSALM,PTB,82032,838
45913,7,12,14,67,CANTON DE VIELSALM,LISTES DESTEXHE,82032,100
70927,287,193,322,655,CANTON DE VIELSALM,PS,82032,1457
64820,4,16,6,36,CANTON DE VIELSALM,LA DROITE,82032,62
15359,9,16,12,37,CANTON DE VIELSALM,NATION,82032,74
23172,17,141,86,349,CANTON DE SAINTE-ODE,ECOLO,82038,593
30440,40,583,319,322,CANTON DE SAINTE-ODE,CDH,82038,1264
48064,71,663,371,611,CANTON DE SAINTE-ODE,MR,82038,1716
44464,3,22,11,91,CANTON DE SAINTE-ODE,PARTI POPULAIRE,82038,127
18279,1,4,2,25,CANTON DE SAINTE-ODE,VLAAMS BELANG,82038,32
9504,2,27,17,94,CANTON DE SAINTE-ODE,DéFI,82038,140
65284,7,41,38,270,CANTON DE SAINTE-ODE,PTB,82038,356
2888,6,12,8,36,CANTON DE SAINTE-ODE,LISTES DESTEXHE,82038,62
48288,24,116,93,301,CANTON DE SAINTE-ODE,PS,82038,534
52268,2,14,3,24,CANTON DE SAINTE-ODE,LA DROITE,82038,43
56035,2,5,4,25,CANTON DE SAINTE-ODE,NATION,82038,36
38303,51,142,128,550,CANTON DE DURBUY,ECOLO,83012,871
58409,1134,114,580,232,CANTON DE DURBUY,CDH,83012,2060
86293,25,857,219,431,CANTON DE DURBUY,MR,83012,1532
92109,2,42,27,142,CANTON DE DURBUY,PARTI POPULAIRE,83012,213
3208,7,16,3,61,CANTON DE DURBUY,VLAAMS BELANG,83012,87
97352,10,27,19,121,CANTON DE DURBUY,DéFI,83012,177
15668,11,98,60,460,CANTON DE DURBUY,PTB,83012,629
1665,5,15,7,43,CANTON DE DURBUY,LISTES DESTEXHE,83012,70
83053,27,580,277,502,CANTON DE DURBUY,PS,83012,1386
92090,4,9,7,27,CANTON DE DURBUY,LA DROITE,83012,47
53400,9,5,2,30,CANTON DE DURBUY,NATION,83012,46
8833,19,103,80,423,CANTON DE EREZÉE,ECOLO,83013,625
37660,192,147,350,298,CANTON DE EREZÉE,CDH,83013,987
59358,75,388,112,520,CANTON DE EREZÉE,MR,83013,1095
17386,6,18,12,103,CANTON DE EREZÉE,PARTI POPULAIRE,83013,139
12404,0,5,4,64,CANTON DE EREZÉE,VLAAMS BELANG,83013,73
19496,6,21,12,128,CANTON DE EREZÉE,DéFI,83013,167
49037,16,77,43,372,CANTON DE EREZÉE,PTB,83013,508
51213,0,8,6,37,CANTON DE EREZÉE,LISTES DESTEXHE,83013,51
40737,21,165,101,410,CANTON DE EREZÉE,PS,83013,697
1116,2,16,3,25,CANTON DE EREZÉE,LA DROITE,83013,46
27439,8,3,3,30,CANTON DE EREZÉE,NATION,83013,44
4682,64,134,148,507,CANTON DE LA ROCHE-EN-ARDENNE,ECOLO,83031,853
27470,67,385,371,384,CANTON DE LA ROCHE-EN-ARDENNE,CDH,83031,1207
87886,432,284,536,561,CANTON DE LA ROCHE-EN-ARDENNE,MR,83031,1813
83825,2,36,31,138,CANTON DE LA ROCHE-EN-ARDENNE,PARTI POPULAIRE,83031,207
8175,6,9,13,62,CANTON DE LA ROCHE-EN-ARDENNE,VLAAMS BELANG,83031,90
72006,12,38,30,152,CANTON DE LA ROCHE-EN-ARDENNE,DéFI,83031,232
29297,6,126,85,489,CANTON DE LA ROCHE-EN-ARDENNE,PTB,83031,706
95271,3,10,10,39,CANTON DE LA ROCHE-EN-ARDENNE,LISTES DESTEXHE,83031,62
93938,37,264,214,579,CANTON DE LA ROCHE-EN-ARDENNE,PS,83031,1094
57180,0,8,6,39,CANTON DE LA ROCHE-EN-ARDENNE,LA DROITE,83031,53
39758,1,3,5,30,CANTON DE LA ROCHE-EN-ARDENNE,NATION,83031,39
62062,141,265,344,991,CANTON DE MARCHE-EN-FAMENNE,ECOLO,83034,1741
46637,166,1032,678,1019,CANTON DE MARCHE-EN-FAMENNE,CDH,83034,2895
36864,73,760,560,1424,CANTON DE MARCHE-EN-FAMENNE,MR,83034,2817
34616,13,89,45,313,CANTON DE MARCHE-EN-FAMENNE,PARTI POPULAIRE,83034,460
54955,14,16,9,65,CANTON DE MARCHE-EN-FAMENNE,VLAAMS BELANG,83034,104
23001,36,71,39,327,CANTON DE MARCHE-EN-FAMENNE,DéFI,83034,473
30734,38,299,144,1080,CANTON DE MARCHE-EN-FAMENNE,PTB,83034,1561
99060,6,34,18,82,CANTON DE MARCHE-EN-FAMENNE,LISTES DESTEXHE,83034,140
78962,466,740,833,1710,CANTON DE MARCHE-EN-FAMENNE,PS,83034,3749
79672,13,20,12,82,CANTON DE MARCHE-EN-FAMENNE,LA DROITE,83034,127
76530,9,15,5,56,CANTON DE MARCHE-EN-FAMENNE,NATION,83034,85
512,20,133,86,293,CANTON DE NASSOGNE,ECOLO,83040,532
40377,23,195,149,223,CANTON DE NASSOGNE,CDH,83040,590
11811,33,132,142,369,CANTON DE NASSOGNE,MR,83040,676
10926,1,11,11,77,CANTON DE NASSOGNE,PARTI POPULAIRE,83040,100
5151,2,5,1,21,CANTON DE NASSOGNE,VLAAMS BELANG,83040,29
650,20,31,17,112,CANTON DE NASSOGNE,DéFI,83040,180
84022,11,55,40,285,CANTON DE NASSOGNE,PTB,83040,391
58163,3,5,6,28,CANTON DE NASSOGNE,LISTES DESTEXHE,83040,42
31897,54,119,156,451,CANTON DE NASSOGNE,PS,83040,780
30735,5,6,2,14,CANTON DE NASSOGNE,LA DROITE,83040,27
7665,4,4,0,14,CANTON DE NASSOGNE,NATION,83040,22
63443,11,53,55,234,CANTON DE BOUILLON,ECOLO,84010,353
45250,14,162,112,122,CANTON DE BOUILLON,CDH,84010,410
19915,92,166,257,406,CANTON DE BOUILLON,MR,84010,921
29803,3,10,9,57,CANTON DE BOUILLON,PARTI POPULAIRE,84010,79
88317,2,3,4,19,CANTON DE BOUILLON,VLAAMS BELANG,84010,28
55837,3,8,13,54,CANTON DE BOUILLON,DéFI,84010,78
72293,3,82,63,234,CANTON DE BOUILLON,PTB,84010,382
14155,2,17,9,11,CANTON DE BOUILLON,LISTES DESTEXHE,84010,39
3405,187,85,238,364,CANTON DE BOUILLON,PS,84010,874
53780,0,5,3,15,CANTON DE BOUILLON,LA DROITE,84010,23
59989,9,1,2,16,CANTON DE BOUILLON,NATION,84010,28
4443,44,406,305,1182,CANTON DE NEUFCHÂTEAU,ECOLO,84043,1937
92794,466,1113,1203,826,CANTON DE NEUFCHÂTEAU,CDH,84043,3608
79050,214,1904,1092,1373,CANTON DE NEUFCHÂTEAU,MR,84043,4583
99413,11,57,48,233,CANTON DE NEUFCHÂTEAU,PARTI POPULAIRE,84043,349
669,7,8,8,61,CANTON DE NEUFCHÂTEAU,VLAAMS BELANG,84043,84
86292,15,80,56,270,CANTON DE NEUFCHÂTEAU,DéFI,84043,421
53121,27,190,136,889,CANTON DE NEUFCHÂTEAU,PTB,84043,1242
77337,6,16,13,78,CANTON DE NEUFCHÂTEAU,LISTES DESTEXHE,84043,113
77957,87,470,383,1130,CANTON DE NEUFCHÂTEAU,PS,84043,2070
70721,3,18,8,66,CANTON DE NEUFCHÂTEAU,LA DROITE,84043,95
36808,10,14,12,56,CANTON DE NEUFCHÂTEAU,NATION,84043,92
90242,29,241,154,652,CANTON DE PALISEUL,ECOLO,84050,1076
6241,97,695,460,441,CANTON DE PALISEUL,CDH,84050,1693
71846,1276,368,945,714,CANTON DE PALISEUL,MR,84050,3303
30100,10,57,37,167,CANTON DE PALISEUL,PARTI POPULAIRE,84050,271
27738,5,12,5,49,CANTON DE PALISEUL,VLAAMS BELANG,84050,71
13449,12,47,27,170,CANTON DE PALISEUL,DéFI,84050,256
39426,20,172,140,713,CANTON DE PALISEUL,PTB,84050,1045
34008,1,17,7,40,CANTON DE PALISEUL,LISTES DESTEXHE,84050,65
47648,132,304,316,958,CANTON DE PALISEUL,PS,84050,1710
74659,6,13,7,51,CANTON DE PALISEUL,LA DROITE,84050,77
27715,4,12,7,46,CANTON DE PALISEUL,NATION,84050,69
64051,30,153,136,527,CANTON DE SAINT-HUBERT,ECOLO,84059,846
59712,22,453,270,300,CANTON DE SAINT-HUBERT,CDH,84059,1045
67749,151,526,399,658,CANTON DE SAINT-HUBERT,MR,84059,1734
75520,6,37,26,110,CANTON DE SAINT-HUBERT,PARTI POPULAIRE,84059,179
21764,2,3,7,42,CANTON DE SAINT-HUBERT,VLAAMS BELANG,84059,54
50949,8,40,31,150,CANTON DE SAINT-HUBERT,DéFI,84059,229
41038,12,128,88,503,CANTON DE SAINT-HUBERT,PTB,84059,731
89490,5,9,2,36,CANTON DE SAINT-HUBERT,LISTES DESTEXHE,84059,52
85431,76,277,402,789,CANTON DE SAINT-HUBERT,PS,84059,1544
80571,2,6,1,28,CANTON DE SAINT-HUBERT,LA DROITE,84059,37
11354,8,10,9,35,CANTON DE SAINT-HUBERT,NATION,84059,62
82231,16,116,89,333,CANTON DE WELLIN,ECOLO,84075,554
28202,18,269,157,304,CANTON DE WELLIN,CDH,84075,748
